 &SRS
 SRSRUN=12875,SRSDAT=2009525,SRSTIM=31738,
 SRSSTN='BASE',SRSPRJ='GDA_BASE',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
tbdetZcoarse	t	path	sum	maxval	maxx	maxy	peakx	peaky	fwhmx	fwhmy	fwhmarea	areax	areay	background	tboptZcoarse
470.00	20.000000	2009625192	1554077.000000	2169.000000	50	44	49.797227	44.318614	4.138646	4.150113	53.959522	37228.281819	37049.794397	12641.299233	40.000
472.50	20.000000	2009625193	1551009.000000	2337.000000	51	43	118.628428	43.819382	61.836935	3.910010	759.583714	-42174.921307	32390.969372	12886.856164	40.000
475.00	20.000000	2009625194	1552920.000000	2039.000000	51	43	50.681899	43.883444	3.974149	4.055044	50.627858	34750.423014	34328.613448	12653.521789	40.000
477.50	20.000000	2009625195	1552652.000000	2119.000000	50	43	117.829300	43.947156	61.831726	4.042799	785.314050	-43382.622606	34012.039512	12896.852268	40.000
480.00	20.000000	2009625196	1551887.000000	2389.000000	50	43	50.410070	43.873052	3.735358	3.835210	45.006085	34200.303138	33605.658576	12650.362552	40.000
482.50	20.000000	2009625197	1553011.000000	2591.000000	50	43	117.875707	43.942443	62.155605	3.771795	736.509339	-44307.947321	34351.382414	12900.649702	40.000
485.00	20.000000	2009625198	1551550.000000	2298.000000	50	44	50.022482	44.124332	3.846815	3.809406	46.037141	34963.318088	34166.404837	12642.207734	40.000
487.50	20.000000	2009625199	1553022.000000	2199.000000	50	44	49.878735	44.233875	4.018804	4.012413	50.658493	35661.237677	35292.439455	12646.515958	40.000
490.00	20.000000	2009625200	1553360.000000	1984.000000	50	44	117.666462	44.141396	62.447872	4.089714	802.343764	-46407.790509	35971.658782	12901.715386	40.000
492.50	20.000000	2009625201	1553636.000000	1926.000000	50	44	49.682608	44.213269	4.007465	4.126972	51.957838	37159.927377	37466.767269	12635.765657	40.000
495.00	20.000000	2009625202	1557709.000000	2192.000000	49	43	49.496902	44.288131	3.954582	4.020069	49.944077	39769.851143	39256.313812	12652.061019	40.000
497.50	20.000000	2009625203	1556662.000000	2362.000000	49	44	49.236881	44.359050	4.044346	4.080767	51.848953	39350.504180	39652.387458	12642.753151	40.000
500.00	20.000000	2009625204	1559567.000000	2451.000000	49	44	49.184288	44.353465	4.166766	4.106500	53.755244	41021.136467	40597.469181	12656.666452	40.000
502.50	20.000000	2009625205	1558112.000000	2422.000000	49	44	116.571128	44.328862	62.948129	4.208390	832.240082	-51808.817232	40448.267397	12935.900640	40.000
505.00	20.000000	2009625206	1558911.000000	2170.000000	49	44	48.768202	44.409006	4.305032	4.292558	58.055378	42762.551032	42095.753379	12637.904740	40.000
507.50	20.000000	2009625207	1560604.000000	1996.000000	49	44	48.660255	44.461161	4.312431	4.330638	58.671060	43412.967056	43258.396707	12644.031237	40.000
510.00	20.000000	2009625208	1561817.000000	1964.000000	48	43	48.516188	44.449229	4.218439	4.360497	57.788001	44767.840406	44910.456308	12641.363500	40.000
