 &SRS
 SRSRUN=12883,SRSDAT=2009525,SRSTIM=44836,
 SRSSTN='BASE',SRSPRJ='GDA_BASE',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
tbdetZcoarse	t	path	sum	maxval	maxx	maxy	peakx	peaky	fwhmx	fwhmy	fwhmarea	topx	topyy	background	tboptZcoarse
410.00	20.000000	2009625316	1552051.000000	2255.000000	50	43	50.430524	44.047871	3.819081	3.914107	11.740363	2949.873592	2927.081357	101.170132	40.000
430.00	20.000000	2009625317	1558911.000000	1825.000000	54	44	53.816895	44.305113	4.825453	4.831693	18.311642	2343.316089	2321.468620	101.080068	40.000
450.00	20.000000	2009625318	1553528.000000	1907.000000	53	44	52.790715	44.256735	4.316367	4.370462	14.816156	2504.105129	2463.193689	101.115321	40.000
470.00	20.000000	2009625319	1548036.000000	1778.000000	52	43	51.826031	44.016211	4.203610	4.377598	14.452671	2281.285441	2278.056651	101.005906	40.000
490.00	20.000000	2009625320	1549359.000000	2053.000000	51	43	50.707571	43.867976	3.963480	4.119874	12.824796	2601.819662	2594.510112	101.069208	40.000
510.00	20.000000	2009625321	1554039.000000	1829.000000	50	44	49.682548	44.259869	4.089743	4.113571	13.213106	2784.111977	2712.061465	101.181885	40.000
530.00	20.000000	2009625322	1559573.000000	1818.000000	49	43	48.547980	44.424362	4.423839	4.457012	15.485776	2879.725617	2860.945597	101.008241	40.000
550.00	20.000000	2009625323	1563302.000000	1567.000000	47	44	47.356577	44.352556	5.084385	5.306276	21.189376	2273.737794	2277.002256	101.005891	40.000
570.00	20.000000	2009625324	1564765.000000	1152.000000	47	45	46.067393	44.496842	6.039511	6.292229	29.846687	1688.928848	1693.587835	100.952432	40.000
590.00	20.000000	2009625325	1564216.000000	848.000000	45	47	45.020923	44.824222	7.052993	7.340863	40.664037	1244.007502	1245.155206	100.907085	40.000
