Z	Element	K	L1	L2	L3	M1	M2	M3	M4	M5
1	H	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
2	He	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
3	Li	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
4	Be	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
5	B	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
6	C	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
7	N	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
8	O	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
9	F	0.0	0.0	0.0	0.0	1.00	1.00	1.00	1.00	1.00
10	Ne	0.240	0.05000	0.00	0.00	1.00	1.00	1.00	1.00	1.00
11	Na	0.300	0.20000	0.00	0.00	1.00	1.00	1.00	1.00	1.00
12	Mg	0.360	0.40000	0.00100	0.00100	1.00	1.00	1.00	1.00	1.00
13	AI	0.420	0.70000	0.00400	0.00400	1.00	1.00	1.00	1.00	1.00
14	Si	0.480	1.0300	0.0150	0.0140	1.00	1.00	1.00	1.00	1.00
15	P	0.530	1.2600	0.0300	0.0300	1.00	1.00	1.00	1.00	1.00
16	S	0.590	1.4900	0.0500	0.0500	1.00	1.00	1.00	1.00	1.00
17	Cl	0.640	1.2000	0.0800	0.0900	1.00	1.00	1.00	1.00	1.00
18	Ar	0.680	1.3000	0.130	0.130	1.00	1.00	1.00	1.00	1.00
19	K	0.740	1.4000	0.150	0.160	1.00	1.00	1.00	1.00	1.00
20	Ca	0.810	1.8300	0.170	0.170	1.00	1.00	1.00	1.00	1.00
21	Sc	0.860	2.2100	0.190	0.190	1.00	1.00	1.00	1.00	1.00
22	Ti	0.940	2.3400	0.240	0.100	1.00	1.00	1.00	1.00	1.00
23	V	1.01	2.4100	0.260	0.200	1.00	1.00	1.00	1.00	1.00
24	Cr	1.08	2.5400	0.290	0.200	1.00	1.00	1.00	1.00	1.00
25	Mn	1.16	2.6200	0.340	0.200	1.00	1.00	1.00	1.00	1.00
26	Fe	1.25	2.7600	0.370	0.200	1.00	1.00	1.00	1.00	1.00
27	Co	1.33	2.7900	0.430	0.300	1.00	1.00	1.00	1.00	1.00
28	Ni	1.44	2.8900	0.520	0.300	1.00	1.00	1.00	1.00	1.00
29	Cu	1.55	3.0600	0.620	0.400	1.00	1.00	1.00	1.00	1.00
30	Zn	1.67	3.2800	0.720	0.660	1.00	1.00	1.00	1.00	1.00
31	Ga	1.82	3.3800	0.830	0.760	1.00	1.00	1.00	1.00	1.00
32	Ge	1.96	3.5300	0.950	0.820	1.00	1.00	1.00	1.00	1.00
33	As	2.14	3.7900	1.03	0.940	1.00	1.00	1.00	1.00	1.00
34	Se	2.33	3.9400	1.13	1.00	1.00	1.00	1.00	1.00	1.00
35	Br	2.52	4.1100	1.21	1.08	1.00	1.00	1.00	1.00	1.00
36	Kr	2.75	4.2800	1.32	1.17	1.00	1.00	1.00	1.00	1.00
37	Rb	2.99	4.4400	1.43	1.27	1.00	1.00	1.00	1.00	1.00
38	Sr	3.25	4.6700	1.54	1.39	1.00	1.00	1.00	1.00	1.00
39	Y	3.52	4.7100	1.65	1.50	1.00	1.00	1.00	1.00	1.00
40	Zr	3.84	4.7800	1.78	1.57	1.00	1.00	1.00	1.00	1.00
41	Nb	4.14	4.9400	1.87	1.66	1.00	1.00	1.00	1.00	1.00
42	Mo	4.52	4.2500	1.97	1.78	1.00	1.00	1.00	1.00	1.00
43	Tc	4.91	4.3600	2.08	1.91	1.00	1.00	1.00	1.00	1.00
44	Ru	5.33	4.5800	2.23	2.00	1.00	1.00	1.00	1.00	1.00
45	Rh	5.77	4.7300	2.35	2.13	1.00	1.00	1.00	1.00	1.00
46	Pd	6.24	4.9300	2.43	2.25	1.00	1.00	1.00	1.00	1.00
47	Ag	6.75	4.8800	2.57	2.40	1.00	1.00	1.00	1.00	1.00
48	Cd	7.28	4.8700	2.62	2.50	1.00	1.00	1.00	1.00	1.00
49	In	7.91	5.0000	2.72	2.65	1.00	1.00	1.00	1.00	1.00
50	Sn	8.49	2.9700	2.84	2.75	1.00	1.00	1.00	1.00	1.00
51	Sb	9.16	3.1300	3.00	2.87	1.00	1.00	1.00	1.00	1.00
52	Tc	9.89	3.3200	3.12	2.95	1.00	1.00	1.00	1.00	1.00
53	I	10.6	3.4600	3.25	3.08	1.00	1.00	1.00	1.00	1.00
54	Xe	11.4	3.6400	3.40	3.23	1.00	1.00	1.00	1.00	1.00
55	Cs	12.3	3.7800	3.51	3.25	1.00	1.00	1.00	1.00	1.00
56	Ba	13.2	3.9200	3.57	3.32	1.00	1.00	1.00	1.00	1.00
57	La	14.1	4.0600	3.68	3.41	1.00	1.00	1.00	1.00	1.00
58	Ce	15.1	4.2100	3.80	3.48	1.00	1.00	1.00	1.00	1.00
59	Pr	16.2	4.3400	3.89	3.60	1.00	1.00	1.00	1.00	1.00
60	Nd	17.3	4.5200	3.97	3.65	1.00	1.00	1.00	1.00	1.00
61	Pm	18.5	4.6700	4.06	3.75	1.00	1.00	1.00	1.00	1.00
62	Sm	19.7	4.8000	4.15	3.86	1.00	1.00	1.00	1.00	1.00
63	Eu	21.0	4.9100	4.23	3.91	1.00	1.00	1.00	1.00	1.00
64	Gd	22.3	5.0500	4.32	4.01	1.00	1.00	1.00	1.00	1.00
65	Tb	23.8	5.1900	4.43	4.12	1.00	1.00	1.00	1.00	1.00
66	Dy	25.2	5.2500	4.55	4.17	1.00	1.00	1.00	1.00	1.00
67	Ho	26.8	5.3300	4.66	4.26	1.00	1.00	1.00	1.00	1.00
